Locus,Name,LocusName,MedianSputumEffect,MedianSputumP,sp1.Est,sp2.Est,sp3.Est,sp4.Est,sp5.Est,sp6.Est,sp1.FDR,sp2.FDR,sp3.FDR,sp4.FDR,sp5.FDR,sp6.FDR,sp1.P,sp2.P,sp3.P,sp4.P,sp5.P,sp6.P
PA2491,mexS,mexS,7.509246396,0.000139483,9.435979569,11.17262982,5.174244721,10.97517763,5.582513223,0,1.29E-08,2.52E-12,0.015280921,1.49E-11,0.001235079,1,5.83E-10,1.61E-13,0.004744112,5.69E-13,0.000278966,1
PA3305.1,phrS,phrS,7.384523402,6.25E-16,5.513246324,8.333228224,8.483891961,8.797353077,5.99162784,6.43581858,1.05E-11,3.14E-22,1.33E-19,7.73E-23,1.08E-13,3.02E-12,2.33E-13,4.57E-24,6.77E-22,2.85E-25,1.25E-15,6.35E-15
PA4837,,PA4837,5.752336041,2.88E-13,6.322251672,6.403034363,0.54276828,6.330787168,5.18242041,4.450794534,3.12E-14,4.89E-16,0.632548058,5.05E-15,2.64E-11,6.52E-07,3.84E-16,1.71E-17,0.511988706,7.46E-17,5.75E-13,1.29E-08
PA4704.3,prrH,prrH,5.720114599,2.24E-09,5.737397902,5.702831296,5.814106613,6.374635755,4.734883877,1.129771544,1.25E-08,1.26E-09,6.44E-08,1.32E-10,5.88E-07,0.351025922,5.63E-10,1.31E-10,3.91E-09,6.80E-12,3.65E-08,0.251020555
PA5536,dksA2,dksA2,5.394374962,2.51E-21,5.508176695,5.918977503,-0.910897765,5.862470549,5.28057323,3.647496736,5.46E-19,1.20E-23,0.324857276,3.70E-22,7.12E-19,9.76E-08,2.01E-21,1.56E-25,0.210547196,1.49E-24,3.00E-21,1.27E-09
PA3432,,PA3432,5.345330941,0.000228556,7.487028691,2.916099571,-0.391047329,9.509029522,7.890050634,3.203633191,1.19E-10,0.001228015,0.824102421,7.61E-15,1.14E-11,0.006272567,3.45E-12,0.000457111,0.736456569,1.19E-16,2.12E-13,0.001731616
PA3601,,PA3601,5.215154172,1.03E-12,5.940475886,5.188218455,-0.16903719,6.752714557,5.24208989,3.152003301,1.63E-12,1.11E-11,0.906805937,1.27E-15,5.35E-11,0.000529745,3.09E-14,8.12E-13,0.847869759,1.56E-17,1.25E-12,6.79E-05
PA3600,,PA3600,4.939632076,1.48E-09,5.722453041,4.984069235,-0.735583867,5.785921621,4.895194917,2.035612857,1.62E-09,5.93E-09,0.596747419,2.28E-10,4.85E-08,0.052098082,5.86E-11,7.10E-10,0.47494727,1.26E-11,2.25E-09,0.024220396
PA4063,,PA4063,4.903988593,2.61E-20,4.997210982,5.129992694,1.365286473,4.931693826,4.876283361,3.147874322,8.08E-18,4.90E-21,0.053746112,8.63E-19,2.94E-18,1.55E-06,3.83E-20,8.61E-23,0.021458828,6.51E-21,1.39E-20,3.87E-08
PA4935,rpsF,rpsF,4.65582062,2.51E-08,4.159739586,5.000083715,7.077010955,8.07096829,4.311557525,1.03732134,3.56E-06,4.29E-09,9.04E-12,7.59E-16,7.59E-07,0.364623289,3.32E-07,4.91E-10,2.03E-13,8.93E-18,4.97E-08,0.263004864
PA4563,rpsT,rpsT,4.608543975,5.81E-12,4.444116384,5.541943514,3.317161092,5.31304564,4.772971565,-0.450649074,3.67E-10,8.79E-16,2.18E-05,4.10E-14,6.40E-12,0.670932783,1.15E-11,3.21E-17,2.49E-06,7.77E-16,1.10E-13,0.572141522
