Name,ctrl_1,ctrl_2,ctrl_3,ctrl_4,sp1A,sp1B1,sp1B2,sp2A1,sp2A2,sp2B1,sp2B2,sp3A,sp4A1,sp4A2,sp4B,sp4C1,sp4C2,sp4D,sp5A,sp5B,sp5C,sp6A,clin1,clin2
PA0001,4765,5150,5307,11470,57,17040,17054,9409,21206,20462,21197,6296,21021,3798,61,9456,115,20454,12411,2778,10043,4560,14555,688
PA0002,3308,3669,3546,6958,43,10699,10471,3945,9117,6849,7386,5284,6958,1414,42,5714,69,2830,8865,1935,5992,2726,9316,470
PA0003,3042,2730,3026,2833,18,7058,6132,4134,6854,7390,6756,1603,9904,1339,18,4753,59,4270,5711,1686,4614,1756,5150,328
PA0004,4255,4616,4315,15874,100,17382,16891,11108,22297,16399,18237,4976,12165,3256,46,13517,263,12418,18902,5478,10243,6415,23975,1346
PA0005,1029,792,964,2321,11,2436,2349,1451,3694,2089,2036,3172,2495,456,24,1631,26,1372,3380,1038,2401,1237,3000,131
PA0006,2194,1434,2180,1489,10,1942,1943,962,2183,1671,1761,3372,4829,491,18,1463,15,1909,2326,729,2312,962,1821,109
PA0007,16246,15770,16426,2848,23,4126,3812,1355,2909,2327,2325,3584,2643,653,35,5446,28,1162,3866,2101,6085,3920,1615,173
PA0008,2389,2526,2496,5632,34,7715,7282,2623,5718,4081,4250,3021,5725,941,23,5545,60,1565,6462,3056,4082,5028,8448,362
PA0009,395,331,378,1514,14,1243,1174,780,1861,1241,1134,1041,2452,625,5,863,17,1270,1323,1117,1065,1856,2417,163
PA0010,204,226,225,421,4,442,417,184,370,224,208,1173,472,66,10,277,4,264,464,489,410,737,680,57
PA0011,2283,1784,2236,2697,17,3846,3913,1723,4035,2805,2793,3461,4325,573,15,2569,38,2616,4995,1215,3589,1822,3299,179
PA0012,284,251,310,382,0,430,421,142,301,227,204,752,354,55,6,488,5,117,809,259,496,382,206,26
PA0013,381,364,402,690,13,988,1071,631,998,707,772,4163,8946,355,19,856,15,3248,1395,700,759,1323,876,130
PA0014,441,346,409,188,3,519,436,111,215,209,177,255,230,31,3,312,4,188,512,223,512,455,249,30
PA0015,2152,2119,2057,1959,13,2186,2129,958,1935,1315,1377,2002,1162,277,10,1696,31,861,2142,637,1683,1106,1653,127
PA0016,4154,3829,4398,3212,26,3947,3874,2342,4116,3516,3379,3110,1650,506,21,2331,54,1256,3478,2138,2692,4121,3951,344
PA0017,878,858,858,2156,26,3187,3183,1563,3062,2753,2784,376,1648,355,4,1551,17,538,1911,1711,1401,4062,2691,192
PA0018,331,353,303,1010,12,1131,1185,673,1467,1305,1235,750,1576,221,4,648,10,736,902,1281,580,2757,1410,109
PA0019,7923,7384,6954,7203,50,13597,12748,6055,12431,9416,9415,10219,18082,2898,66,5332,81,12467,9820,1189,6136,3730,9059,363
PA0020,4972,4821,4922,8775,73,17242,16852,8963,22672,13135,14103,39702,37470,3355,221,4568,155,25412,8250,2596,12933,5713,5653,297
PA0021,439,477,479,590,5,1046,1011,375,693,453,491,241,398,103,3,503,6,186,736,1242,493,3156,738,82
PA0022,680,656,766,2912,8,3263,2982,1112,2393,1401,1562,7903,4366,340,50,1986,33,1755,3776,915,1937,1845,2498,111
PA0023,1493,1566,1723,2612,15,3191,2770,800,1661,1043,1080,2315,1380,224,12,1459,14,519,1891,1363,1787,3003,2425,170
PA0024,222,239,281,1502,8,1246,1327,844,1454,1077,992,1744,5979,461,10,1155,22,1636,2812,1304,836,2578,1551,160
PA0025,1235,1214,1306,2776,10,2667,2518,1129,2092,1518,1597,1849,2014,236,9,1661,18,534,3045,1322,1540,2730,2456,142
PA0026,8422,7217,7291,3291,38,15651,13383,3272,9440,9403,7722,32666,5530,530,159,3709,68,1382,5456,1565,8024,5763,2111,190
PA0027,4470,4385,4477,2675,27,13254,11013,2435,6274,5120,4937,12578,1786,200,80,2287,57,414,1996,1576,8863,6277,1415,154
PA0028,901,778,956,872,12,3976,3436,743,1697,1409,1314,596,723,65,5,608,20,146,801,731,2919,2371,500,60
PA0029,1022,1119,1122,1441,20,4149,3479,813,1690,1304,1319,547,707,135,6,914,16,214,1108,1765,1963,6126,986,140
PA0030,280,310,282,388,9,537,511,263,325,258,255,299,271,76,1,313,10,142,368,1135,374,3385,359,91
PA0031,1441,1721,1527,1017,13,1514,1373,532,932,729,633,1392,663,129,4,975,15,372,843,1795,1020,5182,1115,160
PA0032,1152,1139,1282,1306,11,1141,1181,365,568,423,372,639,572,99,4,876,6,269,955,1038,864,2389,1435,123
PA0033,583,539,665,633,8,934,854,351,716,504,590,633,337,44,5,618,6,212,599,365,698,862,694,50
PA0034,230,228,247,278,12,349,294,179,299,245,216,170,217,66,1,319,6,99,337,573,325,1473,350,68
PA0035,2367,2495,2275,3228,9,2692,2736,801,1579,1409,1404,2810,1377,274,12,1719,16,765,1831,1154,1703,2586,3786,147
PA0036,2457,2856,2478,6122,17,2500,2305,1131,2365,1710,1637,4467,1297,264,33,1652,22,1236,1557,1617,2063,3792,4886,227
PA0037,910,849,936,1168,8,1027,1049,479,833,751,775,1128,1167,190,6,904,6,745,1219,1108,794,2377,1166,80
PA0038,12744,12907,14341,3836,7,2103,1852,693,1395,1239,1081,5153,1108,522,57,25524,119,4677,8734,2258,13628,2843,2240,286
PA0039,48731,43357,55121,10021,71,23872,19283,11943,29407,17281,19152,132352,15598,3929,749,55201,598,29156,35138,5098,84525,5038,22010,1081
PA0040,663,710,748,383,12,690,645,269,686,517,517,279,527,60,2,481,5,195,285,756,644,1658,229,29
PA0041,4592,4752,4778,4886,125,11640,10224,4854,10056,7802,7277,3111,4343,1298,28,4456,192,3108,4527,9067,8729,22389,7953,840
PA0042,399,339,406,625,7,728,555,234,433,341,323,787,546,138,6,490,15,263,771,461,567,746,784,102
PA0043,698,636,793,694,23,897,851,430,666,510,517,877,624,105,5,768,6,271,749,1557,747,2637,882,131
PA0044,1946,1949,1908,1991,29,2537,2308,905,1647,1268,1325,2184,1233,235,11,1394,33,903,1465,1813,1618,2404,1915,157
PA0045,167,170,187,327,3,295,293,378,628,408,424,144,704,98,0,255,7,309,295,767,227,1205,298,107
PA0046,246,253,269,133,3,198,238,214,417,272,296,161,463,53,1,132,2,281,120,350,156,645,138,40
PA0047,340,380,317,314,5,603,606,386,827,696,704,970,1210,53,5,249,5,914,280,547,367,1149,337,69
PA0048,252,234,249,298,5,327,323,194,456,317,339,151,278,19,1,190,3,137,150,344,208,805,284,27
PA0049,565,607,640,652,29,584,589,450,593,511,493,359,434,127,2,561,8,300,412,2388,675,5099,712,182
PA0050,93,91,89,209,2,226,170,110,221,144,157,591,88,18,4,196,1,52,209,147,837,268,192,15
PA0051,8045,7891,8005,816,17,721,588,336,426,398,402,503,311,62,12,810,16,81,529,2136,853,4213,2716,219
PA0052,9915,11340,10071,482,9,954,724,223,348,431,423,1672,518,32,13,585,7,46,567,547,1041,1039,1836,87
PA0053,1212,1020,1270,577,8,1087,1147,379,756,541,586,530,572,149,4,767,14,397,1127,368,873,877,0,0
PA0054,1042,973,1073,1484,10,1619,1665,557,1146,971,927,604,842,169,7,1354,14,364,1686,929,1064,2046,521,66
PA0055,395,382,443,928,11,764,744,366,664,447,482,2275,609,197,20,612,17,377,1338,863,596,1945,746,103
PA0056,336,394,365,488,7,438,463,213,297,245,250,199,378,92,1,347,4,161,435,1261,256,3201,413,85
PA0057,168,195,192,218,13,207,210,180,151,129,141,221,270,63,1,172,8,132,210,1324,177,3359,184,101
PA0058,394,366,357,427,7,291,306,145,177,150,134,249,307,63,1,593,2,204,460,1112,393,2502,310,71
PA0059,2695,2636,2802,3561,10,2490,1853,568,1285,1174,1105,7143,795,130,40,5458,79,2371,2503,1169,7326,4166,1299,249
PA0060,492,459,513,1001,5,527,444,213,390,331,302,903,332,75,7,1978,25,713,1386,597,1706,1009,1054,137
PA0061,4095,4231,4141,3750,12,3022,2849,837,1730,1583,1568,9229,3708,251,49,3489,17,2179,4055,837,2807,1627,5725,170
PA0062,244,219,251,2239,3,412,381,223,510,387,391,5635,1653,154,38,585,18,2232,1151,683,711,1402,2706,188
PA0063,1959,1805,2146,1753,13,3110,2771,995,1876,1486,1468,657,878,161,11,1738,20,394,2127,1940,2192,4999,3120,210
PA0064,1697,1780,1833,2164,11,3346,3270,1061,2187,1624,1617,979,748,168,7,1852,26,246,1802,1517,2105,3743,2927,161
