Name,Chromosome,Region,Identifier,GD1_S1_R1_001 RNA-Seq un-mapped reads [GD1_S1_R1_001] (single) sampled (GE) - Total counts,GD1_S1_R1_001 RNA-Seq un-mapped reads [GD1_S1_R1_001] (single) sampled (GE) - RPKM,GD1_S1_R1_001 RNA-Seq un-mapped reads [GD1_S1_R1_001] (single) sampled (GE) - TPM,GD1_S1_R1_001 RNA-Seq un-mapped reads [GD1_S1_R1_001] (single) sampled (GE) - CPM,GD2_S2_R1_001 RNA-Seq un-mapped reads [GD2_S2_R1_001] (single) sampled (GE) - Total counts,GD2_S2_R1_001 RNA-Seq un-mapped reads [GD2_S2_R1_001] (single) sampled (GE) - RPKM,GD2_S2_R1_001 RNA-Seq un-mapped reads [GD2_S2_R1_001] (single) sampled (GE) - TPM,GD2_S2_R1_001 RNA-Seq un-mapped reads [GD2_S2_R1_001] (single) sampled (GE) - CPM,GD3_S3_R1_001 RNA-Seq un-mapped reads [GD3_S3_R1_001] (single) sampled (GE) - Total counts,GD3_S3_R1_001 RNA-Seq un-mapped reads [GD3_S3_R1_001] (single) sampled (GE) - RPKM,GD3_S3_R1_001 RNA-Seq un-mapped reads [GD3_S3_R1_001] (single) sampled (GE) - TPM,GD3_S3_R1_001 RNA-Seq un-mapped reads [GD3_S3_R1_001] (single) sampled (GE) - CPM,GD4_S4_R1_001 RNA-Seq un-mapped reads [GD4_S4_R1_001] (single) sampled (GE) - Total counts,GD4_S4_R1_001 RNA-Seq un-mapped reads [GD4_S4_R1_001] (single) sampled (GE) - RPKM,GD4_S4_R1_001 RNA-Seq un-mapped reads [GD4_S4_R1_001] (single) sampled (GE) - TPM,GD4_S4_R1_001 RNA-Seq un-mapped reads [GD4_S4_R1_001] (single) sampled (GE) - CPM,GD5_S5_R1_001 RNA-Seq un-mapped reads [GD5_S5_R1_001] (single) sampled (GE) - Total counts,GD5_S5_R1_001 RNA-Seq un-mapped reads [GD5_S5_R1_001] (single) sampled (GE) - RPKM,GD5_S5_R1_001 RNA-Seq un-mapped reads [GD5_S5_R1_001] (single) sampled (GE) - TPM,GD5_S5_R1_001 RNA-Seq un-mapped reads [GD5_S5_R1_001] (single) sampled (GE) - CPM,GD6_S6_R1_001 RNA-Seq un-mapped reads [GD6_S6_R1_001] (single) sampled (GE) - Total counts,GD6_S6_R1_001 RNA-Seq un-mapped reads [GD6_S6_R1_001] (single) sampled (GE) - RPKM,GD6_S6_R1_001 RNA-Seq un-mapped reads [GD6_S6_R1_001] (single) sampled (GE) - TPM,GD6_S6_R1_001 RNA-Seq un-mapped reads [GD6_S6_R1_001] (single) sampled (GE) - CPM,GD7_S7_R1_001 RNA-Seq un-mapped reads [GD7_S7_R1_001] (single) sampled (GE) - Total counts,GD7_S7_R1_001 RNA-Seq un-mapped reads [GD7_S7_R1_001] (single) sampled (GE) - RPKM,GD7_S7_R1_001 RNA-Seq un-mapped reads [GD7_S7_R1_001] (single) sampled (GE) - TPM,GD7_S7_R1_001 RNA-Seq un-mapped reads [GD7_S7_R1_001] (single) sampled (GE) - CPM,GD8_S8_R1_001 RNA-Seq un-mapped reads [GD8_S8_R1_001] (single) sampled (GE) - Total counts,GD8_S8_R1_001 RNA-Seq un-mapped reads [GD8_S8_R1_001] (single) sampled (GE) - RPKM,GD8_S8_R1_001 RNA-Seq un-mapped reads [GD8_S8_R1_001] (single) sampled (GE) - TPM,GD8_S8_R1_001 RNA-Seq un-mapped reads [GD8_S8_R1_001] (single) sampled (GE) - CPM,GD9_S9_R1_001 RNA-Seq un-mapped reads [GD9_S9_R1_001] (single) sampled (GE) - Total counts,GD9_S9_R1_001 RNA-Seq un-mapped reads [GD9_S9_R1_001] (single) sampled (GE) - RPKM,GD9_S9_R1_001 RNA-Seq un-mapped reads [GD9_S9_R1_001] (single) sampled (GE) - TPM,GD9_S9_R1_001 RNA-Seq un-mapped reads [GD9_S9_R1_001] (single) sampled (GE) - CPM,GD10_S10_R1_001 RNA-Seq un-mapped reads [GD10_S10_R1_001] (single) sampled (GE) - Total counts,GD10_S10_R1_001 RNA-Seq un-mapped reads [GD10_S10_R1_001] (single) sampled (GE) - RPKM,GD10_S10_R1_001 RNA-Seq un-mapped reads [GD10_S10_R1_001] (single) sampled (GE) - TPM,GD10_S10_R1_001 RNA-Seq un-mapped reads [GD10_S10_R1_001] (single) sampled (GE) - CPM,GD11_S11_R1_001 RNA-Seq un-mapped reads [GD11_S11_R1_001] (single) sampled (GE) - Total counts,GD11_S11_R1_001 RNA-Seq un-mapped reads [GD11_S11_R1_001] (single) sampled (GE) - RPKM,GD11_S11_R1_001 RNA-Seq un-mapped reads [GD11_S11_R1_001] (single) sampled (GE) - TPM,GD11_S11_R1_001 RNA-Seq un-mapped reads [GD11_S11_R1_001] (single) sampled (GE) - CPM,GD12_S12_R1_001 RNA-Seq un-mapped reads [GD12_S12_R1_001] (single) sampled (GE) - Total counts,GD12_S12_R1_001 RNA-Seq un-mapped reads [GD12_S12_R1_001] (single) sampled (GE) - RPKM,GD12_S12_R1_001 RNA-Seq un-mapped reads [GD12_S12_R1_001] (single) sampled (GE) - TPM,GD12_S12_R1_001 RNA-Seq un-mapped reads [GD12_S12_R1_001] (single) sampled (GE) - CPM,GD13_S13_R1_001 RNA-Seq un-mapped reads [GD13_S13_R1_001] (single) sampled (GE) - Total counts,GD13_S13_R1_001 RNA-Seq un-mapped reads [GD13_S13_R1_001] (single) sampled (GE) - RPKM,GD13_S13_R1_001 RNA-Seq un-mapped reads [GD13_S13_R1_001] (single) sampled (GE) - TPM,GD13_S13_R1_001 RNA-Seq un-mapped reads [GD13_S13_R1_001] (single) sampled (GE) - CPM
dnaA,PA14 ref,483..2027,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4384099,100,198.5956961,228.9797925,447.5549848,107,204.018958,232.9040384,461.0139042,139,219.2936632,243.4298779,482.3418653,107,173.3176758,190.4906694,390.5086783,115,185.0483343,205.6531235,419.1169129,183,258.1649643,279.515063,614.5263714,178,244.8757261,265.9586506,514.5246599,129,175.0403992,192.2254208,401.9312894,147,199.9378642,218.771343,460.8977159,168,233.9741837,255.7122529,530.6275925,146,196.351706,218.9047058,497.9060611,70,96.02594896,113.3159491,310.1086867,104,142.8863786,163.0309762,402.5104792
dnaN,PA14 ref,2056..3159,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4384100,69,191.768969,221.1086121,308.8129395,82,218.8063947,249.7850859,353.3003752,102,225.2012849,249.9877128,353.9487069,82,185.8798621,204.2975662,299.2683329,95,213.9293421,237.7499779,346.227015,93,183.6067202,198.7908936,312.3002871,131,252.2065959,273.9206821,378.667025,104,197.4882832,216.877181,324.0376286,113,215.0876961,235.3482385,354.2955231,123,239.7304391,262.0033104,388.4952016,94,176.9168047,197.2375076,320.5696558,63,120.9457265,142.7226696,279.097818,66,126.8997703,144.7905226,255.4393426
recF,PA14 ref,3169..4278,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4384101,46,127.15492,146.6089536,205.875293,30,79.61841125,90.89081571,129.2562348,57,125.1675186,138.9438861,197.7948656,47,105.9649998,116.4644267,171.5318493,53,118.7049186,131.9224913,193.1582294,70,137.4515871,148.8187568,235.0647322,86,164.6757654,178.85376,248.590566,68,128.4289709,141.0378009,211.8707572,79,149.5582277,163.6461131,247.6933303,80,155.0794139,169.4875293,252.679806,79,147.8816949,164.8674186,269.4149235,56,106.9261918,126.1788407,248.0869494,60,114.7398415,130.9162465,232.2175842
gyrB,PA14 ref,4275..6695,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4384102,142,179.9665831,207.5005232,635.5280784,125,152.1004345,173.634871,538.5676451,166,167.1294809,185.5243263,576.0341701,148,152.9869859,168.1455352,540.1428447,145,148.898059,165.477582,528.4517597,238,214.2677777,231.9876035,799.2200896,273,239.6746356,260.3097648,789.1305177,199,172.3198689,189.2377957,620.0335394,191,165.7848251,181.4012017,598.8534949,231,205.3072724,224.3819568,729.6129397,236,202.5477953,225.8124794,804.8344549,107,93.67162183,110.5377125,474.0232782,107,93.81557876,107.0420115,414.1213584
PA14_00060,PA14 ref,complement(7018..7791),https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4385186,37,146.6760073,169.1166646,165.5953444,10,38.06048083,43.44909795,43.08541161,14,44.08865405,48.94120293,48.58119507,32,103.4657428,113.7175336,116.7876421,35,112.4198256,124.9375649,127.5573213,29,81.66420429,88.41778849,97.3839605,34,93.36673556,101.4052777,98.27999122,28,75.83926918,83.2849759,87.24090002,37,100.4539367,109.9163619,116.0082686,42,116.7603727,127.6083433,132.6568981,30,80.53610112,89.78649529,102.3094646,33,90.36328917,106.6336963,146.1940952,40,109.69959,125.1654036,154.8117228
PA14_00070,PA14 ref,complement(7803..8339),https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4385187,12,68.56544144,79.05559315,53.70659818,11,60.34393553,68.8874525,47.39395277,10,45.39055365,50.38639408,34.70085362,3,13.98088075,15.36616113,10.94884145,12,55.55495294,61.740894,43.73393873,9,36.52943217,39.55039585,30.22260843,20,79.16075509,85.97621308,57.81175954,11,42.94330525,47.15936983,34.27321072,11,43.04518682,47.09989961,34.48894473,12,48.08328198,52.55060266,37.90197089,10,38.69332233,43.13764578,34.10315487,12,47.36156142,55.889271,53.16148915,11,43.48148555,49.61165019,42.57322376
PA14_00080,PA14 ref,8671..10377,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4385188,42,75.49428657,87.04451513,187.9730936,43,74.2079041,84.71428693,185.2672699,54,77.10810045,85.59488315,187.3846095,39,57.17664238,62.84192787,142.3349388,60,87.38432844,97.11441147,218.6696937,70,89.37976665,96.77142356,235.0647322,74,92.14089296,100.0738944,213.9035103,85,104.3908595,114.6396888,264.8384465,60,73.86248705,80.82008656,188.1215167,71,89.49771978,97.81277229,224.2533278,85,103.4655359,115.3496099,289.8768164,52,64.56376884,76.18883048,230.366453,65,80.82874011,92.22424509,251.5690495
glyS,PA14 ref,complement(10434..12488),https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4385189,18,26.87565113,30.98748432,80.55989727,27,38.70500868,44.18487829,116.3306113,40,47.44472469,52.66665425,138.8034145,22,26.7915856,29.44620075,80.29150394,36,43.55183902,48.40125559,131.2018162,31,32.8794516,35.59856392,104.1000957,62,64.12598978,69.64700823,179.2164546,28,28.56427949,31.36864786,87.24090002,55,56.24152146,61.53928489,172.4447236,60,62.82414214,68.6610064,189.5098545,21,21.23331367,23.67217671,71.61662523,10,10.31352736,12.17053468,44.30124096,13,13.42819069,15.32134174,50.3138099
glyQ,PA14 ref,complement(12488..13435),https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4385190,12,38.83928486,44.78149106,53.70659818,13,40.39710529,46.11654257,56.01103509,22,56.56582287,62.79165186,76.34187796,20,52.79699694,58.02833002,72.99227631,22,57.69393583,64.11804867,80.17888768,21,48.28204483,52.27494304,70.51941967,22,49.3251667,53.5718872,63.59293549,26,57.49658879,63.14145777,81.00940716,22,48.76638253,53.36001284,68.97788946,27,61.28336018,66.97707349,85.27943451,14,30.68527397,34.20979124,47.74441682,11,24.59254072,29.02056292,48.73136505,2,4.478242758,5.109600336,7.740586139
tag,PA14 ref,13540..14091,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4385191,6,33.35112505,38.45367167,26.85329909,9,48.030672,54.83087252,38.77687045,8,35.32569175,39.21375887,27.7606829,10,45.33655172,49.82867469,36.49613816,14,63.05285872,70.0736777,51.02292852,15,59.22797425,64.12609472,50.37101405,20,77.00964761,83.63990294,57.81175954,12,45.57421921,50.04858024,37.38895715,13,49.48920441,54.15092212,40.75966195,10,38.98055921,42.60216429,31.58497574,14,52.69862269,58.751598,47.74441682,4,15.35818749,18.1235136,17.72049638,4,15.38179034,17.55036637,15.48117228
